C-A10-0;C-B00-0;C-C11-0;F-ISIS-568
A10-2003;B00-5;Total;517908
A10-2003;B00-6;C11-1;579464
A10-2003;B00-6;C11-2;610875
A10-2003;B00-6;Total;1190339
A10-2003;B00-7;C11-1;332274
A10-2003;B00-7;C11-2;348431
A10-2003;B00-7;Total;680705
A10-2003;B00-8;C11-1;175498
A10-2003;B00-8;C11-2;180123
A10-2003;B00-8;Total;355621
A10-2003;B00-9;C11-1;761044
A10-2003;B00-9;C11-2;839844
A10-2003;B00-9;Total;1600888
A10-2003;Total;C11-1;3940285
A10-2003;Total;C11-2;4177960
A10-2003;Total;Total;8118245
A10-2004;B00-1;C11-1;135570
A10-2004;B00-1;C11-2;141817
A10-2004;B00-1;Total;277387
A10-2004;B00-2;C11-1;270023
A10-2004;B00-2;C11-2;288408
A10-2004;B00-2;Total;558431
A10-2004;B00-3;C11-1;764148
A10-2004;B00-3;C11-2;798765
A10-2004;B00-3;Total;1562913
A10-2004;B00-4;C11-1;680979
A10-2004;B00-4;C11-2;710342
A10-2004;B00-4;Total;1391321
A10-2004;B00-5;C11-1;252306
A10-2004;B00-5;C11-2;268439
A10-2004;B00-5;Total;520745
A10-2004;B00-6;C11-1;581704
A10-2004;B00-6;C11-2;612664
A10-2004;B00-6;Total;1194368
A10-2004;B00-7;C11-1;334681
A10-2004;B00-7;C11-2;350824
A10-2004;B00-7;Total;685505
A10-2004;B00-8;C11-1;176867
A10-2004;B00-8;C11-2;181654
A10-2004;B00-8;Total;358521
A10-2004;B00-9;C11-1;771423
A10-2004;B00-9;C11-2;848827
A10-2004;B00-9;Total;1620250
A10-2004;Total;C11-1;3967701
A10-2004;Total;C11-2;4201740
A10-2004;Total;Total;8169441
A10-2005;B00-1;C11-1;136118
A10-2005;B00-1;C11-2;142348
A10-2005;B00-1;Total;278466
A10-2005;B00-2;C11-1;270494
A10-2005;B00-2;C11-2;288599
A10-2005;B00-2;Total;559093
A10-2005;B00-3;C11-1;770742
A10-2005;B00-3;C11-2;803794
A10-2005;B00-3;Total;1574536
A10-2005;B00-4;C11-1;684625
A10-2005;B00-4;C11-2;712947
A10-2005;B00-4;Total;1397572
A10-2005;B00-5;C11-1;253782
A10-2005;B00-5;C11-2;269574
A10-2005;B00-5;Total;523356
A10-2005;B00-6;C11-1;584304
A10-2005;B00-6;C11-2;614239
A10-2005;B00-6;Total;1198543
A10-2005;B00-7;C11-1;337242
A10-2005;B00-7;C11-2;353426
A10-2005;B00-7;Total;690668
A10-2005;B00-8;C11-1;178278
A10-2005;B00-8;C11-2;183113
A10-2005;B00-8;Total;361391
A10-2005;B00-9;C11-1;783367
A10-2005;B00-9;C11-2;858286
A10-2005;B00-9;Total;1641653
A10-2005;Total;C11-1;3998952
A10-2005;Total;C11-2;4226326
A10-2005;Total;Total;8225278
A10-2006;B00-1;C11-1;136749
A10-2006;B00-1;C11-2;142841
A10-2006;B00-1;Total;279590
A10-2006;B00-2;C11-1;270847
A10-2006;B00-2;C11-2;288606
A10-2006;B00-2;Total;559453
A10-2006;B00-3;C11-1;776204
A10-2006;B00-3;C11-2;808321
A10-2006;B00-3;Total;1584525
A10-2006;B00-4;C11-1;687475
A10-2006;B00-4;C11-2;714806
A10-2006;B00-4;Total;1402281
A10-2006;B00-5;C11-1;254743
A10-2006;B00-5;C11-2;270557
A10-2006;B00-5;Total;525300
A10-2006;B00-6;C11-1;586128
A10-2006;B00-6;C11-2;615367
A10-2006;B00-6;Total;1201495
A10-2006;B00-7;C11-1;339721
A10-2006;B00-7;C11-2;355575
A10-2006;B00-7;Total;695296
A10-2006;B00-8;C11-1;179368
A10-2006;B00-8;C11-2;184021
A10-2006;B00-8;Total;363389
A10-2006;B00-9;C11-1;791281
A10-2006;B00-9;C11-2;865338
A10-2006;B00-9;Total;1656619
A10-2006;Total;C11-1;4022516
A10-2006;Total;C11-2;4245432
A10-2006;Total;Total;8267948
A10-2007;B00-1;C11-1;137259
A10-2007;B00-1;C11-2;143210
A10-2007;B00-1;Total;280469
A10-2007;B00-2;C11-1;271240
A10-2007;B00-2;C11-2;288589
